iter	Passed	Remaining
0	1	183
1	3	167
2	4	156
3	6	148
4	7	142
5	8	137
6	9	131
7	10	126
8	12	121
9	13	117
10	13	113
11	14	108
12	15	104
13	16	101
14	17	98
15	18	95
16	18	92
17	19	89
18	20	86
19	20	83
20	21	81
21	22	78
22	22	76
23	23	73
24	23	71
25	24	69
26	24	67
27	25	65
28	26	64
29	26	62
30	27	60
31	27	58
32	28	57
33	28	55
34	29	54
35	29	52
36	30	51
37	30	50
38	31	48
39	31	47
40	32	46
41	32	44
42	33	43
43	33	42
44	33	41
45	34	40
46	34	39
47	35	38
48	35	37
49	36	36
50	36	35
51	36	34
52	37	33
53	37	32
54	38	31
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	25
62	42	25
63	43	24
64	43	23
65	44	22
66	44	22
67	45	21
68	45	20
69	46	19
70	47	19
71	47	18
72	48	17
73	48	17
74	49	16
75	49	15
76	50	15
77	51	14
78	51	13
79	51	12
80	52	12
81	52	11
82	53	10
83	54	10
84	54	9
85	55	8
86	55	8
87	56	7
88	56	6
89	56	6
90	57	5
91	57	5
92	58	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	61	0
